t=2022-07-06T08:53:06+0000 lvl=info msg="no configuration paths supplied"
t=2022-07-06T08:53:06+0000 lvl=info msg="using configuration at default config path" path=/home/gitpod/.config/ngrok/ngrok.yml
t=2022-07-06T08:53:06+0000 lvl=info msg="open config file" path=/home/gitpod/.config/ngrok/ngrok.yml err=nil
t=2022-07-06T08:53:06+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2022-07-06T08:53:06+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-07-06T08:53:06+0000 lvl=info msg="client session established" obj=csess id=155f1626566d
t=2022-07-06T10:35:15+0000 lvl=info msg="join connections" obj=join id=de9768c637cf l=[::1]:25565 r=188.66.213.236:62404
t=2022-07-06T10:35:30+0000 lvl=info msg="join connections" obj=join id=7b095671418f l=[::1]:25565 r=188.66.213.236:62421
t=2022-07-06T10:35:46+0000 lvl=info msg="join connections" obj=join id=3cb9cb0b5621 l=[::1]:25565 r=188.66.213.236:62437
t=2022-07-06T10:36:00+0000 lvl=info msg="join connections" obj=join id=6fd400ee0497 l=[::1]:25565 r=188.66.213.236:62456
t=2022-07-06T10:36:15+0000 lvl=info msg="join connections" obj=join id=9acbe24f3949 l=[::1]:25565 r=188.66.213.236:62477
t=2022-07-06T10:36:31+0000 lvl=info msg="join connections" obj=join id=1197c6ac8def l=[::1]:25565 r=188.66.213.236:62496
t=2022-07-06T10:36:46+0000 lvl=info msg="join connections" obj=join id=7967b401f16a l=[::1]:25565 r=188.66.213.236:62512
t=2022-07-06T10:37:01+0000 lvl=info msg="join connections" obj=join id=73d158a80fa4 l=[::1]:25565 r=188.66.213.236:62530
t=2022-07-06T10:37:16+0000 lvl=info msg="join connections" obj=join id=ba4c4d7bc96f l=[::1]:25565 r=188.66.213.236:62546
t=2022-07-06T10:37:31+0000 lvl=info msg="join connections" obj=join id=601756519b1d l=[::1]:25565 r=188.66.213.236:62563
t=2022-07-06T10:37:46+0000 lvl=info msg="join connections" obj=join id=ba11e975c244 l=[::1]:25565 r=188.66.213.236:62579
t=2022-07-06T10:38:01+0000 lvl=info msg="join connections" obj=join id=7ce4daebc0ae l=[::1]:25565 r=188.66.213.236:62597
t=2022-07-06T10:38:16+0000 lvl=info msg="join connections" obj=join id=a8b4c52ce680 l=[::1]:25565 r=188.66.213.236:62616
t=2022-07-06T10:38:31+0000 lvl=info msg="join connections" obj=join id=d08e98a506c6 l=[::1]:25565 r=188.66.213.236:62636
t=2022-07-06T10:38:46+0000 lvl=info msg="join connections" obj=join id=4809dc2b811b l=[::1]:25565 r=188.66.213.236:62654
t=2022-07-06T10:39:01+0000 lvl=info msg="join connections" obj=join id=c84f24f9f4a1 l=[::1]:25565 r=188.66.213.236:62672
t=2022-07-06T10:39:16+0000 lvl=info msg="join connections" obj=join id=e4bb647293f8 l=[::1]:25565 r=188.66.213.236:62688
t=2022-07-06T10:39:31+0000 lvl=info msg="join connections" obj=join id=255749ed1ab2 l=[::1]:25565 r=188.66.213.236:62704
t=2022-07-06T10:39:46+0000 lvl=info msg="join connections" obj=join id=b24a68bf6815 l=[::1]:25565 r=188.66.213.236:62721
t=2022-07-06T10:40:01+0000 lvl=info msg="join connections" obj=join id=607d76afb2af l=[::1]:25565 r=188.66.213.236:62737
t=2022-07-06T10:40:16+0000 lvl=info msg="join connections" obj=join id=b3d804ebef3f l=[::1]:25565 r=188.66.213.236:62754
t=2022-07-06T10:40:31+0000 lvl=info msg="join connections" obj=join id=2450daf46f6a l=[::1]:25565 r=188.66.213.236:62771
t=2022-07-06T10:40:46+0000 lvl=info msg="join connections" obj=join id=a39337d5b435 l=[::1]:25565 r=188.66.213.236:62787
t=2022-07-06T10:41:01+0000 lvl=info msg="join connections" obj=join id=e71e884bf040 l=[::1]:25565 r=188.66.213.236:62804
t=2022-07-06T10:41:16+0000 lvl=info msg="join connections" obj=join id=ed90e7c8f2be l=[::1]:25565 r=188.66.213.236:62821
t=2022-07-06T10:41:31+0000 lvl=info msg="join connections" obj=join id=b99a27ae47f9 l=[::1]:25565 r=188.66.213.236:62837
t=2022-07-06T10:41:46+0000 lvl=info msg="join connections" obj=join id=faaa0dd495a0 l=[::1]:25565 r=188.66.213.236:62858
t=2022-07-06T10:42:01+0000 lvl=info msg="join connections" obj=join id=214a58e1aee6 l=[::1]:25565 r=188.66.213.236:62876
t=2022-07-06T10:42:16+0000 lvl=info msg="join connections" obj=join id=d84095d9f844 l=[::1]:25565 r=188.66.213.236:62897
t=2022-07-06T10:42:31+0000 lvl=info msg="join connections" obj=join id=437d1f11efe7 l=[::1]:25565 r=188.66.213.236:9891
t=2022-07-06T10:42:46+0000 lvl=info msg="join connections" obj=join id=296030a2b6d3 l=[::1]:25565 r=188.66.213.236:9908
t=2022-07-06T10:43:01+0000 lvl=info msg="join connections" obj=join id=d819471c1231 l=[::1]:25565 r=188.66.213.236:9926
t=2022-07-06T10:43:16+0000 lvl=info msg="join connections" obj=join id=c88b2c78ec17 l=[::1]:25565 r=188.66.213.236:9951
t=2022-07-06T10:43:16+0000 lvl=info msg="join connections" obj=join id=b23ef94ae73f l=[::1]:25565 r=188.66.213.236:9953
t=2022-07-06T10:43:31+0000 lvl=info msg="join connections" obj=join id=b0a0f20a888c l=[::1]:25565 r=188.66.213.236:9971
t=2022-07-06T10:43:46+0000 lvl=info msg="join connections" obj=join id=1ba7854fec41 l=[::1]:25565 r=188.66.213.236:9988
t=2022-07-06T10:44:01+0000 lvl=info msg="join connections" obj=join id=806ad374a72a l=[::1]:25565 r=188.66.213.236:10004
t=2022-07-06T10:44:16+0000 lvl=info msg="join connections" obj=join id=39ccf29caed6 l=[::1]:25565 r=188.66.213.236:10021
t=2022-07-06T10:44:31+0000 lvl=info msg="join connections" obj=join id=8e4d6c969f15 l=[::1]:25565 r=188.66.213.236:10039
t=2022-07-06T10:44:46+0000 lvl=info msg="join connections" obj=join id=8ba751917890 l=[::1]:25565 r=188.66.213.236:10057
t=2022-07-06T10:45:01+0000 lvl=info msg="join connections" obj=join id=8b6e3f59c9e7 l=[::1]:25565 r=188.66.213.236:10073
t=2022-07-06T10:45:16+0000 lvl=info msg="join connections" obj=join id=4a847ce8a062 l=[::1]:25565 r=188.66.213.236:10091
t=2022-07-06T10:45:31+0000 lvl=info msg="join connections" obj=join id=61794dc66a41 l=[::1]:25565 r=188.66.213.236:10108
t=2022-07-06T10:45:46+0000 lvl=info msg="join connections" obj=join id=db734ebecd01 l=[::1]:25565 r=188.66.213.236:10125
